"V1" "V2"
"1" 1 36.3425
"2" 2 25.9581
"3" 3 5.849
"4" 4 29.8097
"5" 5 6.5245
"6" 6 8.1322
"7" 7 NA
"8" 8 15.5059
"9" 9 6.1072
"10" 10 15.9826
"11" 11 2.2441
"12" 12 13.1894
"13" 13 1.2329
"14" 14 9.35
"15" 15 9.9769
"16" 16 11.6411
"17" 17 5.0445
"18" 18 13.785
"19" 19 2.9988
"20" 20 42.9189
"21" 21 9.7106
"22" 22 5.4545
"23" 23 2.7307
"24" 24 24.632
"25" 25 7.9408
"26" 26 7.8454
"27" 27 11.2694
"28" 28 9.0666
"29" 29 13.0938
"30" 30 6.8008
"31" 31 13.1344
"32" 32 11.8307
"33" 33 34.5001
"34" 34 21.2982
"35" 35 2.7114
"36" 36 3.8211
"37" 37 NA
"38" 38 9.7017
"39" 39 23.2737
"40" 40 32.014
"41" 41 14.4414
"42" 42 27.3376
"43" 43 2.9845
"44" 44 6.3238
"45" 45 20.8303
"46" 46 5.1653
"47" 47 27.447
"48" 48 6.9783
"49" 49 25.9099
"50" 50 8.8907
"51" 51 2.5828
"52" 52 23.1259
"53" 53 9.4293
"54" 54 4.5498
"55" 55 2.0712
"56" 56 10.4583
"57" 57 4.5831
"58" 58 7.1228
"59" 59 36.3774
"60" 60 11.0586
"61" 61 3.7662
"62" 62 2.3007
"63" 63 19.9578
"64" 64 1.1984
"65" 65 8.0907
"66" 66 20.5359
"67" 67 34.0387
"68" 68 7.4368
"69" 69 9.432
"70" 70 14.869
"71" 71 14.2943
"72" 72 4.0379
"73" 73 4.5328
"74" 74 6.0913
"75" 75 14.1573
"76" 76 22.9752
"77" 77 13.0262
"78" 78 17.164
"79" 79 18.2276
"80" 80 29.194
"81" 81 21.7483
"82" 82 8.7003
"83" 83 NA
"84" 84 2.7081
"85" 85 28.3631
"86" 86 5.3048
"87" 87 5.1408
"88" 88 6.2721
"89" 89 0.5282
"90" 90 0.6251
"91" 91 23.2164
"92" 92 11.6846
"93" 93 8.0474
"94" 94 3.9697
"95" 95 18.5875
"96" 96 12.9371
"97" 97 5.7686
"98" 98 7.4257
"99" 99 NA
"100" 100 13.3396
"101" 101 38.3408
"102" 102 13.9902
"103" 103 10.331
"104" 104 1.2287
"105" 105 3.4869
"106" 106 23.8141
"107" 107 4.2419
"108" 108 8.9935
"109" 109 12.7114
"110" 110 3.1634
"111" 111 35.9294
"112" 112 31.4703
"113" 113 14.2012
"114" 114 13.0812
"115" 115 15.9526
"116" 116 7.9423
"117" 117 3.1675
"118" 118 NA
"119" 119 11.5954
"120" 120 12.8353
"121" 121 12.4333
"122" 122 24.955
"123" 123 15.9063
"124" 124 8.5398
"125" 125 17.9854
"126" 126 13.4621
"127" 127 10.3444
"128" 128 17.6944
"129" 129 36.4735
"130" 130 15.8751
"131" 131 21.1835
"132" 132 8.1822
"133" 133 8.5433
"134" 134 3.3153
"135" 135 24.7085
"136" 136 24.2287
"137" 137 2.9584
"138" 138 8.1502
"139" 139 12.9998
"140" 140 19.505
"141" 141 15.6574
"142" 142 10.758
"143" 143 NA
"144" 144 22.7722
"145" 145 11.9243
"146" 146 25.1084
"147" 147 10.8253
"148" 148 8.7466
"149" 149 14.1328
"150" 150 20.6512
"151" 151 13.5573
"152" 152 6.3526
"153" 153 26.7363
"154" 154 36.8131
"155" 155 3.3825
"156" 156 9.1912
"157" 157 11.6188
